songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
"Gangsta's Paradise (From ""Dangerous Minds"")Coolio Featuring L.V.","Gangsta's Paradise (From ""Dangerous Minds"")",Coolio Featuring L.V.,1.0,1995-08-19,1996-05-04,1995-08-26,1996-01-20,1.0,22.0,15.0,22.0,22.0,2.7333333333333334,14.552631578947368,38.0,1.0,3
"I Finally Found Someone (From ""The Mirror Has Two Faces"")Barbra Streisand & Bryan Adams","I Finally Found Someone (From ""The Mirror Has Two Faces"")",Barbra Streisand & Bryan Adams,8.0,1996-11-23,1997-04-05,1996-12-07,1997-01-04,2.0,5.0,13.0,5.0,10.0,4.6923076923076925,29.75,20.0,1.0,7
G.H.E.T.T.O.U.T.Changing Faces,G.H.E.T.T.O.U.T.,Changing Faces,8.0,1997-05-10,1997-10-25,1997-06-07,1997-07-05,4.0,5.0,16.0,5.0,5.0,2.5625,21.04,25.0,1.0,7
Not Ready To Make NiceDixie Chicks,Not Ready To Make Nice,Dixie Chicks,4.0,2006-05-06,2007-03-24,2007-03-03,2007-03-03,43.0,1.0,3.0,1.0,0.5581395348837209,12.666666666666666,61.583333333333336,24.0,3.0,1
It Will RainBruno Mars,It Will Rain,Bruno Mars,3.0,2011-10-15,2012-04-28,2011-11-26,2012-02-18,6.0,13.0,10.0,13.0,3.1666666666666665,3.7,18.20689655172414,29.0,1.0,8
Drip Too HardLil Baby & Gunna,Drip Too Hard,Lil Baby & Gunna,4.0,2018-09-29,2019-05-25,2018-10-20,2019-02-02,3.0,16.0,16.0,15.0,8.0,2.25,18.285714285714285,35.0,1.0,8
Ebony And IvoryPaul McCartney And Stevie Wonder,Ebony And Ivory,Paul McCartney And Stevie Wonder,1.0,1982-04-10,1982-08-14,1982-04-24,1982-07-10,2.0,12.0,5.0,12.0,11.5,18.2,21.05263157894737,19.0,1.0,5
Feel So GoodMase,Feel So Good,Mase,5.0,1997-11-01,1998-03-14,1997-11-22,1998-01-17,3.0,9.0,8.0,9.0,6.333333333333333,4.875,18.3,20.0,1.0,5
My BooUsher And Alicia Keys,My Boo,Usher And Alicia Keys,1.0,2004-09-11,2005-03-05,2004-09-25,2005-01-29,2.0,19.0,5.0,19.0,11.0,6.4,9.76923076923077,26.0,1.0,8
Fire BurningSean Kingston,Fire Burning,Sean Kingston,5.0,2009-05-23,2009-10-10,2009-06-13,2009-08-22,3.0,11.0,7.0,11.0,6.666666666666667,4.285714285714286,14.952380952380953,21.0,1.0,5
Hungry HeartBruce Springsteen,Hungry Heart,Bruce Springsteen,5.0,1980-11-08,1981-03-07,1980-12-06,1981-01-24,4.0,8.0,6.0,8.0,5.5,13.333333333333334,23.27777777777778,18.0,1.0,2
Hey LoverLL Cool J,Hey Lover,LL Cool J,3.0,1995-11-18,1996-04-06,1995-11-25,1996-02-24,1.0,14.0,6.0,14.0,25.0,5.333333333333333,12.238095238095237,21.0,1.0,5
Lose My BreathDestiny's Child,Lose My Breath,Destiny's Child,3.0,2004-09-25,2005-02-26,2004-10-09,2005-01-08,2.0,14.0,7.0,14.0,11.5,4.714285714285714,13.217391304347826,23.0,1.0,5
I'll Make Love To YouBoyz II Men,I'll Make Love To You,Boyz II Men,1.0,1994-08-13,1995-03-25,1994-08-20,1995-01-14,1.0,22.0,10.0,22.0,29.0,3.9,11.787878787878787,33.0,1.0,8
Endless LoveLuther Vandross & Mariah Carey,Endless Love,Luther Vandross & Mariah Carey,2.0,1994-09-10,1995-01-21,1994-09-17,1994-11-12,1.0,9.0,10.0,9.0,25.0,6.8,30.4,20.0,1.0,5
I Want YouSavage Garden,I Want You,Savage Garden,4.0,1997-03-01,1997-10-11,1997-04-12,1997-05-31,6.0,8.0,19.0,8.0,3.5,2.0526315789473686,23.636363636363637,33.0,1.0,8
Love On The RocksNeil Diamond,Love On The Rocks,Neil Diamond,2.0,1980-11-01,1981-03-14,1980-11-29,1981-01-31,4.0,10.0,6.0,10.0,5.75,14.5,19.65,20.0,1.0,5
Hello AgainNeil Diamond,Hello Again,Neil Diamond,6.0,1981-01-31,1981-05-16,1981-03-07,1981-04-04,5.0,5.0,6.0,5.0,4.4,14.666666666666666,27.75,16.0,1.0,2
HeartlessThe Weeknd,Heartless,The Weeknd,1.0,2019-12-07,2019-12-28,2019-12-14,2019-12-14,1.0,1.0,2.0,1.0,31.0,12.5,19.0,4.0,1.0,9
I Need Your Love TonightElvis Presley With The Jordanaires,I Need Your Love Tonight,Elvis Presley With The Jordanaires,4.0,1959-03-28,1959-06-20,1959-04-11,1959-05-09,2.0,5.0,6.0,5.0,11.5,11.0,25.384615384615383,13.0,1.0,2
Emotional RescueThe Rolling Stones,Emotional Rescue,The Rolling Stones,3.0,1980-07-05,1980-11-08,1980-08-02,1980-09-20,4.0,8.0,7.0,8.0,6.0,12.428571428571429,28.210526315789473,19.0,1.0,5
I Don't Need YouKenny Rogers,I Don't Need You,Kenny Rogers,3.0,1981-06-13,1981-10-10,1981-07-04,1981-08-22,3.0,8.0,7.0,8.0,7.666666666666667,13.285714285714286,26.055555555555557,18.0,1.0,5
Hold MeFleetwood Mac,Hold Me,Fleetwood Mac,4.0,1982-06-19,1982-10-09,1982-07-17,1982-09-18,4.0,10.0,3.0,10.0,6.75,28.0,19.764705882352942,17.0,1.0,2
"Not TonightLil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",Not Tonight,"Lil' Kim Feat. Da Brat, Left Eye, Missy Elliott & Angie Mar",6.0,1997-07-12,1997-11-29,1997-08-09,1997-09-06,4.0,5.0,12.0,5.0,6.75,3.1666666666666665,24.523809523809526,21.0,1.0,7
My BabyLil' Romeo,My Baby,Lil' Romeo,3.0,2001-05-19,2001-08-18,2001-06-09,2001-07-07,3.0,5.0,6.0,5.0,7.666666666666667,15.0,33.142857142857146,14.0,1.0,2
Never Say NeverJustin Bieber Featuring Jaden Smith,Never Say Never,Justin Bieber Featuring Jaden Smith,8.0,2010-06-26,2011-05-07,2011-03-05,2011-03-05,36.0,1.0,9.0,1.0,0.6944444444444444,9.555555555555555,61.05263157894737,19.0,2.0,4
I Heard It Through The GrapevineMarvin Gaye,I Heard It Through The Grapevine,Marvin Gaye,1.0,1968-11-23,1969-03-01,1968-12-07,1969-02-15,2.0,11.0,2.0,11.0,15.0,10.0,8.266666666666667,15.0,1.0,2
FastloveGeorge Michael,Fastlove,George Michael,8.0,1996-05-11,1996-09-14,1996-06-01,1996-06-15,3.0,3.0,13.0,3.0,8.666666666666666,7.0,37.473684210526315,19.0,1.0,7
Find Your LoveDrake,Find Your Love,Drake,5.0,2010-05-22,2010-10-09,2010-06-26,2010-08-07,5.0,7.0,9.0,7.0,4.8,4.222222222222222,17.285714285714285,21.0,1.0,5
Locked Out Of HeavenBruno Mars,Locked Out Of Heaven,Bruno Mars,1.0,2012-10-20,2013-06-22,2012-11-10,2013-03-23,3.0,20.0,13.0,20.0,9.0,3.0,15.277777777777779,36.0,1.0,8
